"題目","選項A","選項B","選項C","選項D","正確答案"
"vscode程式編輯器，在上課時需要安裝那些模組，以下哪一個是錯誤的？","p5.vscode","一種咖啡","一種汽車品牌","一種程式語言","A"
"目前採用在上課時使用的AI","draw()","setup()","preload()","mouseClicked()","B"
"產生動態的gif檔案，採用哪個軟體","background()","fill()","stroke()","color()","A"
"如何在p5.js中畫一個圓形？","circle(x, y, d)","rect(x, y, w, h)","line(x1, y1, x2, y2)","ellipse(x, y, w, h)","A"
"`width` 和 `height` 在p5.js中代表什麼？","視窗的寬高","畫布的寬高","滑鼠的座標","螢幕的解析度","B"
"`mouseX` 和 `mouseY` 儲存了什麼資訊？","畫布中心座標","滑鼠的目前座標","滑鼠的前一個座標","畫布的寬高","B"
"`fill()` 函數的作用是什麼？","設定圖形的邊框顏色","設定畫布的背景顏色","設定圖形的填充顏色","設定文字大小","C"
"`noStroke()` 函數有什麼作用？","移除圖形的填充","移除圖形的邊框","讓圖形變透明","畫一條很粗的線","B"
"`preload()` 函數通常用來做什麼？","預先載入圖片、聲音或字體等資源","畫主要的動畫","設定初始環境","回應鍵盤事件","A"
"如何畫一個矩形？","square(x,y,s)","rect(x,y,w,h)","quad(x1,y1,x2,y2,x3,y3,x4,y4)","ellipse(x,y,w,h)","B"
